cycle,index,qops,qpt,time_sherbrooke,swaps_sherbrooke,depth_sherbrooke,time_ankaa,swaps_ankaa,depth_ankaa,qlosure_256,qmap_256,sabre_256,pytket_256,cirq_256
800,5,30672,54,12.540382862091064,11389,5196,5.87444806098938,4686,3618,14.930204153060911,30.96800112724304,1.6188340187072754,40.92768979072571,16.793150901794434
800,6,30672,54,10.731432676315308,10554,5175,5.660419464111328,4644,3754,12.345837116241457,27.49287724494934,3.063915014266968,39.72035622596741,15.501039743423462
800,7,30672,54,10.623126745224,10705,5126,6.602509021759033,5219,3839,11.454650402069092,27.6823148727417,1.6347670555114746,42.17050528526306,14.314058065414429
800,8,30672,54,10.510151386260986,9911,4793,6.280123949050903,4885,3672,13.045709133148192,27.45204257965088,1.624664068222046,49.75617718696594,14.78209924697876
800,9,30672,54,10.833386659622192,11234,5364,8.064560890197754,6116,4485,16.047709703445435,25.49165964126587,1.592961311340332,44.89286804199219,14.669268131256104
900,0,34506,54,9.929811954498293,10835,5531,6.6882240772247314,5674,4412,13.359511375427246,31.233936071395878,1.8234610557556152,44.16657257080078,15.323829650878906
900,1,34506,54,10.804868459701538,11177,5550,7.0545876026153564,5689,4303,13.822657346725464,30.442121505737305,1.828901290893555,42.19038128852844,17.534955263137817
900,2,34506,54,13.333255290985107,12807,6217,7.333353281021118,5968,4397,16.789817571640015,31.672847270965576,1.8171844482421875,45.944188356399536,17.16238260269165
900,3,34506,54,11.62005615234375,11613,5600,6.6939873695373535,5410,4247,14.213946342468262,32.18845176696777,1.7924225330352783,40.859742641448975,15.94174337387085
900,4,34506,54,13.586163759231567,13908,6159,7.736268520355225,6242,4947,12.346118688583374,32.13032293319702,1.811276912689209,48.00715374946594,15.608869552612305
900,5,34506,54,11.048664331436155,11620,5509,9.135305404663086,6785,5117,16.82533359527588,28.68436813354492,1.842625617980957,47.65642738342285,16.924351930618286
900,6,34506,54,12.446709394454956,12510,6003,6.890017032623291,5488,4156,12.69993543624878,29.92062258720398,1.824035882949829,39.40881586074829,15.550951719284058
900,7,34506,54,12.491667985916138,12336,5806,8.165024042129517,6673,5109,13.775779247283936,29.2339928150177,3.3684332370758057,48.08517932891846,15.895952224731444
900,8,34506,54,9.167253494262695,10508,5400,6.911925554275513,5619,4251,14.767805337905884,31.68870329856873,1.8011984825134275,44.24130821228027,16.34815263748169
900,9,34506,54,9.868047952651978,10669,5244,6.948067903518677,5595,4154,15.55218505859375,29.311031579971317,1.8004887104034424,40.86094498634338,16.59252905845642
